chrom	start	end	TF	relScore	strand	ID	class
chr4	31129662	31129671	SREBF1	961.778539118614	-	MA0595.1	Basic helix-loop-helix factors (bHLH)
chr4	31129662	31129671	SREBF2	971.162781649641	+	MA0596.1	Basic helix-loop-helix factors (bHLH)
chr4	31129734	31129741	Foxj2	949.073056956082	+	MA0614.1	Fork head/winged helix factors
chr4	31129693	31129700	SHOX	928.938674407602	-	MA0630.1	Homeo domain factors
chr4	31129718	31129727	BARHL2	956.665579171433	+	MA0635.1	Homeo domain factors
chr4	31129693	31129700	EN1	930.242107281791	+	MA0027.2	Homeo domain factors
chr4	31129693	31129700	EN1	927.442247451644	-	MA0027.2	Homeo domain factors
chr4	31129734	31129740	FOXL1	965.347959593101	+	MA0033.2	Fork head/winged helix factors
chr4	31129765	31129771	FOXL1	959.067641518653	-	MA0033.2	Fork head/winged helix factors
chr4	31129693	31129700	ISX	930.185797656839	-	MA0654.1	Homeo domain factors
chr4	31129654	31129662	NFIX	946.710455124504	-	MA0671.1	SMAD/NF-1 DNA-binding domain factors
chr4	31129755	31129764	NKX2-3	928.738765973415	+	MA0672.1	Homeo domain factors
chr4	31129756	31129764	NKX2-8	954.49211354103	+	MA0673.1	Homeo domain factors
chr4	31129693	31129700	Lhx4	936.642854519148	+	MA0704.1	Homeo domain factors
chr4	31129693	31129700	Lhx4	928.28502150727	-	MA0704.1	Homeo domain factors
chr4	31129731	31129738	Lhx8	925.114844349103	+	MA0705.1	Homeo domain factors
chr4	31129692	31129701	NOTO	963.549565549989	+	MA0710.1	Homeo domain factors
chr4	31129692	31129701	NOTO	950.903983116639	-	MA0710.1	Homeo domain factors
chr4	31129693	31129700	PDX1	937.084744465928	+	MA0132.2	Homeo domain factors
chr4	31129670	31129677	RHOXF1	968.07345233642	+	MA0719.1	Homeo domain factors
chr4	31129684	31129691	RHOXF1	933.222784958691	-	MA0719.1	Homeo domain factors
chr4	31129693	31129700	Shox2	930.598500829184	+	MA0720.1	Homeo domain factors
chr4	31129655	31129661	MEIS1	936.715163726824	-	MA0498.2	Homeo domain factors
chr4	31129747	31129758	TFAP2A	930.981890062047	+	MA0810.1	Basic helix-span-helix factors (bHSH)
chr4	31129734	31129740	FOXO4	944.600746741635	+	MA0848.1	Fork head/winged helix factors
chr4	31129772	31129778	FOXO4	941.978599548705	+	MA0848.1	Fork head/winged helix factors
chr4	31129734	31129740	FOXO6	953.683908138292	+	MA0849.1	Fork head/winged helix factors
chr4	31129772	31129778	FOXO6	947.875375615915	+	MA0849.1	Fork head/winged helix factors
chr4	31129772	31129778	FOXP3	951.409686489411	+	MA0850.1	Fork head/winged helix factors
chr4	31129765	31129771	FOXP3	958.339174323379	-	MA0850.1	Fork head/winged helix factors
chr4	31129693	31129700	BARX1	938.212203711052	+	MA0875.1	Homeo domain factors
chr4	31129693	31129700	BSX	925.8985458675	+	MA0876.1	Homeo domain factors
chr4	31129692	31129701	EMX2	930.155303543189	+	MA0886.1	Homeo domain factors
chr4	31129692	31129701	HOXB3	932.792127279654	+	MA0903.1	Homeo domain factors
chr4	31129656	31129668	NEUROD1	940.859148302313	+	MA1109.1	Basic helix-loop-helix factors (bHLH)
chr4	31129657	31129666	ATOH7	925.330324930865	-	MA1468.1	Basic helix-loop-helix factors (bHLH)
chr4	31129693	31129700	DRGX	956.134152330427	+	MA1481.1	Homeo domain factors
chr4	31129737	31129746	ETS2	962.548827424513	+	MA1484.1	Tryptophan cluster factors
chr4	31129667	31129674	HOXA1	938.172446294357	+	MA1495.1	Homeo domain factors
chr4	31129731	31129738	HOXA1	937.586020077088	+	MA1495.1	Homeo domain factors
chr4	31129667	31129674	HOXA1	937.432435987421	-	MA1495.1	Homeo domain factors
chr4	31129731	31129738	HOXA1	939.920843344421	-	MA1495.1	Homeo domain factors
chr4	31129731	31129738	HOXA4	930.008855278482	+	MA1496.1	Homeo domain factors
chr4	31129667	31129674	HOXA4	951.640412404308	-	MA1496.1	Homeo domain factors
chr4	31129731	31129739	NKX6-3	945.539174210607	+	MA1530.1	Homeo domain factors
chr4	31129723	31129731	NR1I3	930.046082196319	+	MA1534.1	Nuclear receptors with C4 zinc fingers
chr4	31129723	31129731	NR2C1	992.345220877931	-	MA1535.1	Nuclear receptors with C4 zinc fingers
chr4	31129723	31129730	NR2C2	1000	-	MA1536.1	Nuclear receptors with C4 zinc fingers
chr4	31129729	31129738	POU6F1	927.786561942699	-	MA1549.1	Homeo domain factors
chr4	31129693	31129700	TLX2	968.256132264577	+	MA1577.1	Homeo domain factors
chr4	31129657	31129666	HAND2	972.951628594353	+	MA1638.1	Basic helix-loop-helix factors (bHLH)
chr4	31129655	31129667	NEUROG2	952.422934660522	+	MA1642.1	Basic helix-loop-helix factors (bHLH)
chr4	31129734	31129747	ERF::FOXO1	947.616939896726	+	MA1936.1	Tryptophan cluster factors; Fork head/winged helix factors
chr4	31129733	31129747	ETV2::FOXI1	934.438995461128	+	MA1942.1	Tryptophan cluster factors; Fork head/winged helix factors
chr4	31129734	31129746	ETV5::FOXI1	949.010264643366	+	MA1946.1	Tryptophan cluster factors; Fork head/winged helix factors
chr4	31129734	31129746	ETV5::FOXO1	964.621007955528	+	MA1947.1	Tryptophan cluster factors; Fork head/winged helix factors
chr4	31129734	31129747	FLI1::FOXI1	950.096095845903	+	MA1950.1	Tryptophan cluster factors; Fork head/winged helix factors
chr4	31129734	31129747	FOXO1::ELF1	939.275407511069	+	MA1953.1	Fork head/winged helix factors; Tryptophan cluster factors
chr4	31129734	31129747	FOXO1::ELK1	935.387162244496	+	MA1954.1	Fork head/winged helix factors; Tryptophan cluster factors
chr4	31129734	31129747	FOXO1::ELK3	926.565961520237	+	MA1955.1	Fork head/winged helix factors; Tryptophan cluster factors
chr4	31129734	31129747	FOXO1::FLI1	929.145569414374	+	MA1956.1	Fork head/winged helix factors; Tryptophan cluster factors
chr4	31129722	31129732	Nr1H2	958.80366432418	-	MA1996.1	Nuclear receptors with C4 zinc fingers
chr4	31129693	31129700	ESX1	941.564733779095	+	MA0644.2	Homeo domain factors
chr4	31129693	31129700	ESX1	935.807861874787	-	MA0644.2	Homeo domain factors
chr4	31129693	31129700	MSX1	927.187472991567	+	MA0666.2	Homeo domain factors
chr4	31129667	31129674	MNX1	948.891640100771	+	MA0707.2	Homeo domain factors
chr4	31129731	31129738	MNX1	925.23192907606	+	MA0707.2	Homeo domain factors
chr4	31129667	31129674	MNX1	932.454000208905	-	MA0707.2	Homeo domain factors
chr4	31129731	31129738	MNX1	934.387471633883	-	MA0707.2	Homeo domain factors
chr4	31129693	31129700	VAX2	946.864174984759	+	MA0723.2	Homeo domain factors
chr4	31129693	31129700	VAX2	940.58485489229	-	MA0723.2	Homeo domain factors
chr4	31129719	31129726	VAX2	944.842400355055	-	MA0723.2	Homeo domain factors
chr4	31129693	31129700	DLX1	933.398480901181	+	MA0879.2	Homeo domain factors
chr4	31129693	31129700	DLX1	940.662836089942	-	MA0879.2	Homeo domain factors
chr4	31129722	31129731	Nr1H4	993.72963489952	-	MA1110.2	Nuclear receptors with C4 zinc fingers
chr4	31129657	31129667	Atoh1	973.680117815383	+	MA1467.2	Basic helix-loop-helix factors (bHLH)
